TSI,WSI,station_name,Country,TTAAii_CCCC
6601,0-20000-0-06601,BASEL / BINNINGEN,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6602,0-20000-0-06602,DELEMONT,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6603,0-20000-0-06603,VEVEY,Switzerland,"ISID23_LSSW,ISND23_LSSW,ISMD23_LSSW"
6604,0-20000-0-06604,NEUCHATEL,Switzerland,"ISID23_LSSW,ISMD23_LSSW,ISND23_LSSW"
6605,0-20000-0-06605,CHASSERAL,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6606,0-20000-0-06606,CRESSIER,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6608,0-20000-0-06608,CHAUMONT,Switzerland,"ISMD23_LSSW,ISID23_LSSW,ISND23_LSSW"
6609,0-20000-0-06609,LE MOLESON,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6610,0-20000-0-06610,PAYERNE (6610-0),Switzerland,"ISND23_LSSW,ISID21_LSSW,ISMD01_LSSW"
6612,0-20000-0-06612,LA CHAUX-DE-FONDS,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6613,0-20000-0-06613,FRUTIGEN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6614,0-20000-0-06614,LES MARECOTTES,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6615,0-20000-0-06615,"MONTAGNIER, BAGNES",Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6616,0-20000-0-06616,FAHY,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6617,0-20000-0-06617,LA BREVINE,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6618,0-20000-0-06618,MATHOD,Switzerland,"ISID23_LSSW,ISND23_LSSW,ISMD23_LSSW"
6619,0-20000-0-06619,BULLET / LA FRETAZ,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6620,0-20000-0-06620,SCHAFFHAUSEN,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6621,0-20000-0-06621,GUETTINGEN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6623,0-20000-0-06623,SALEN-REUTENEN,Switzerland,"ISMD23_LSSW,ISID23_LSSW,ISND23_LSSW"
6624,0-20000-0-06624,HALLAU,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6625,0-20000-0-06625,FRIBOURG / POSIEUX,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6626,0-20000-0-06626,GOESGEN,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6627,0-20000-0-06627,CHATEAU-D'OEX,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6628,0-20000-0-06628,PLAFFEIEN,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6631,0-20000-0-06631,BERN / ZOLLIKOFEN,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6632,0-20000-0-06632,GRENCHEN,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6633,0-20000-0-06633,BUCHS / AARAU,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6635,0-20000-0-06635,KOPPIGEN,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6636,0-20000-0-06636,MUEHLEBERG,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6637,0-20000-0-06637,MEIRINGEN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6638,0-20000-0-06638,LANGNAU I.E.,Switzerland,"ISMD23_LSSW,ISID23_LSSW,ISND23_LSSW"
6639,0-20000-0-06639,NAPF,Switzerland,"ISID23_LSSW,ISMD23_LSSW,ISND23_LSSW"
6640,0-20000-0-06640,MARSENS,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6641,0-20000-0-06641,MOEHLIN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6642,0-20000-0-06642,BERGUEN / LATSCH,Switzerland,"ISMD23_LSSW,ISID23_LSSW,ISND23_LSSW"
6643,0-20000-0-06643,WYNAU,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6644,0-20000-0-06644,MOSEN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6645,0-20000-0-06645,RUENENBERG,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6646,0-20000-0-06646,BEZNAU,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6647,0-20000-0-06647,WUERENLINGEN / PSI,Switzerland,"ISMD23_LSSW,ISND23_LSSW,ISID23_LSSW"
6648,0-20000-0-06648,EGOLZWIL,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6649,0-20000-0-06649,OBERRIET / KRIESSERN,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
6650,0-20000-0-06650,LUZERN,Switzerland,"ISID23_LSSW,ISND23_LSSW,ISMD23_LSSW"
6651,0-20000-0-06651,SCHUEPFHEIM,Switzerland,"ISND23_LSSW,ISID23_LSSW,ISMD23_LSSW"
6652,0-20000-0-06652,FLUEHLI,Switzerland,"ISND23_LSSW,ISMD23_LSSW,ISID23_LSSW"
