tsi,wsi,station_name,CountryArea,TTAAii_CCCC
6601,0-20000-0-06601,BASEL / BINNINGEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6602,0-20000-0-06602,DELEMONT,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6603,0-20000-0-06603,VEVEY,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6604,0-20000-0-06604,NEUCHATEL,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6605,0-20000-0-06605,CHASSERAL,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6606,0-20000-0-06606,CRESSIER,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6608,0-20000-0-06608,CHAUMONT,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6609,0-20000-0-06609,LE MOLESON,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6610,0-20000-0-06610,PAYERNE (6610-0),Switzerland,"ISND23LSSW,ISID21LSSW,ISMD01LSSW"
6612,0-20000-0-06612,LA CHAUX-DE-FONDS,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6613,0-20000-0-06613,FRUTIGEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6614,0-20000-0-06614,LES MARECOTTES,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6615,0-20000-0-06615,"MONTAGNIER, BAGNES",Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6616,0-20000-0-06616,FAHY,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6617,0-20000-0-06617,LA BREVINE,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6618,0-20000-0-06618,MATHOD,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6619,0-20000-0-06619,BULLET / LA FRETAZ,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6620,0-20000-0-06620,SCHAFFHAUSEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6621,0-20000-0-06621,GUETTINGEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6623,0-20000-0-06623,SALEN-REUTENEN,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6624,0-20000-0-06624,HALLAU,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6625,0-20000-0-06625,FRIBOURG / POSIEUX,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6626,0-20000-0-06626,GOESGEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6627,0-20000-0-06627,CHATEAU-D'OEX,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6628,0-20000-0-06628,PLAFFEIEN,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6631,0-20000-0-06631,BERN / ZOLLIKOFEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6632,0-20000-0-06632,GRENCHEN,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6633,0-20000-0-06633,BUCHS / AARAU,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6635,0-20000-0-06635,KOPPIGEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6636,0-20000-0-06636,MUEHLEBERG,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6637,0-20000-0-06637,MEIRINGEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6638,0-20000-0-06638,LANGNAU I.E.,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6639,0-20000-0-06639,NAPF,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6640,0-20000-0-06640,MARSENS,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6641,0-20000-0-06641,MOEHLIN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6642,0-20000-0-06642,BERGUEN / LATSCH,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6643,0-20000-0-06643,WYNAU,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6644,0-20000-0-06644,MOSEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6645,0-20000-0-06645,RUENENBERG,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6646,0-20000-0-06646,BEZNAU,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6647,0-20000-0-06647,WUERENLINGEN / PSI,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6648,0-20000-0-06648,EGOLZWIL,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6649,0-20000-0-06649,OBERRIET / KRIESSERN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6650,0-20000-0-06650,LUZERN,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6651,0-20000-0-06651,SCHUEPFHEIM,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6652,0-20000-0-06652,FLUEHLI,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6653,0-20000-0-06653,GERSAU,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6654,0-20000-0-06654,SIMPLON-DORF,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
